time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1640815200,0.752,0.752,0.726,0.728,62.625136073963134,60.22769450511475,NaN,NaN
1640901600,0.728,0.744,0.72,0.736,63.53085266954111,60.662499749784274,NaN,NaN
1641160800,0.766,0.802,0.758,0.772,67.3636154790463,61.22837170899735,NaN,NaN
1641247200,0.774,0.8,0.754,0.764,65.7109080745146,61.60808769719138,NaN,NaN
1641333600,0.764,0.834,0.756,0.832,71.99934115909257,62.90440840152291,NaN,NaN
1641420000,0.832,0.886,0.82,0.87,74.78255692845852,64.2394197564849,NaN,NaN
1641506400,0.87,0.908,0.86,0.864,73.53961084360546,65.52517496789017,NaN,NaN
1641765600,0.872,0.908,0.864,0.896,75.84547584712804,66.7197144453621,NaN,NaN
1641852000,0.898,0.945,0.884,0.889,74.31975642904032,67.8273691198963,NaN,NaN
1641938400,0.889,0.917,0.883,0.907,75.6748215790193,68.838239498058,NaN,NaN
1642024800,0.927,0.929,0.889,0.897,73.3588887463582,69.73124428926273,NaN,NaN
1642111200,0.895,0.973,0.895,0.969,78.4682923343012,70.86914566409988,NaN,NaN
1642370400,0.968847,1.017646,0.968847,1.009509,80.7098836199865,71.80063826772951,NaN,NaN
1642456800,1.009509,1.059,1.002,1.047,82.52330014150098,72.88945999468258,NaN,NaN
1642543200,1.051,1.076,1.002,1.059,83.07184390301813,74.34993912532936,NaN,NaN
1642629600,1.057,1.07,1.023,1.029,76.59893801045368,75.2833737925374,NaN,NaN
1642716000,1.035,1.036,0.989,1.006,71.96892989244382,75.6123248220658,NaN,NaN
1642975200,1.037,1.039,0.948,0.975,66.16397150189671,75.64468649545024,NaN,NaN
1643061600,0.973,1.039,0.971,1.021,70.02729303597634,75.50382591522764,NaN,NaN
1643148000,1.019,1.164,1.011,1.156,77.9752173697201,75.73187308960347,NaN,NaN
1643234400,1.156,1.208,1.15,1.188,79.37156914963279,76.148441540034,NaN,NaN
1643320800,1.19,1.228,1.158,1.164,75.50517709785927,76.1241344865148,NaN,NaN
1643580000,1.205,1.217,1.159,1.183,76.48189746763342,76.27857313212859,NaN,NaN
1643666400,1.177,1.211,1.139,1.169,74.13612993720217,76.16866658628452,NaN,NaN
1643752800,1.169,1.177,1.14,1.156,71.92997393292637,76.06660124246795,NaN,NaN
1643839200,1.158,1.214,1.132,1.2,74.6767300509954,75.79577536508897,NaN,NaN
1643925600,1.2,1.328,1.198,1.314,80.1079135951759,75.75277750617393,NaN,NaN
1644184800,1.321,1.331,1.288,1.294,76.98824167567781,75.35741618718656,NaN,NaN
1644271200,1.294,1.348,1.29,1.343,79.132399658661,75.07602731258962,NaN,NaN
1644357600,1.345,1.362,1.316,1.358,79.75429839038813,75.30141019687065,NaN,NaN
1644444000,1.365,1.64,1.339,1.581,86.29398208388989,76.32462821054537,NaN,NaN
1644530400,1.587,1.631,1.467,1.5,76.61355801930318,77.07102724750298,NaN,NaN
1644789600,1.521,1.617,1.503,1.578,79.05068403941391,77.71555517631995,NaN,NaN
1644876000,1.581,1.61,1.555,1.575,78.71093344010811,77.76810632420481,NaN,NaN
1644962400,1.579,1.597,1.498,1.527,73.2838378590608,77.33326837487823,NaN,NaN
1645048800,1.523,1.527,1.466,1.481,68.41542171836602,76.826857276343,NaN,NaN
1645135200,1.449,1.507,1.441,1.472,67.47099993400559,76.18322173822673,NaN,NaN
1645394400,1.473705,1.473705,1.44067,1.44067,64.15114600381045,75.47000860012733,NaN,NaN
1645480800,1.44067,1.566,1.429,1.555,69.95995279946212,75.32929280487987,NaN,NaN
1645567200,1.555,1.644,1.555,1.596,71.72908334812193,75.11874661181749,NaN,NaN
1645653600,1.578,1.588,1.462,1.586,70.63641404775797,74.44221092985906,NaN,NaN
1645740000,1.584,1.626,1.554,1.572,69.05052369864408,73.87523107435665,NaN,NaN
1645999200,1.5,1.512,1.416,1.436,55.91693462162065,72.21698357171091,NaN,NaN
1646085600,1.436,1.48,1.263,1.323,47.78438588416931,69.93341839269529,NaN,NaN
1646172000,1.376,1.534,1.277,1.518,58.8946124981781,67.97632056514445,NaN,NaN
1646258400,1.52,1.56,1.466,1.532,59.55990526100716,66.75820251098044,NaN,NaN
1646344800,1.532,1.544,1.412,1.482,56.069564058850915,65.11669394094024,NaN,NaN
1646604000,1.442,1.564,1.424,1.556,59.82227905332906,63.76750434188458,NaN,NaN
1646690400,1.556,1.641,1.552,1.603,62.04024219125771,62.964390365612935,NaN,NaN
1646776800,1.605,1.68,1.593,1.664,64.75936842276784,62.70324370164163,NaN,NaN
1646863200,1.672,1.733,1.65,1.7,66.29388635033399,62.619164159950806,NaN,NaN
1646949600,1.698,1.762,1.673,1.752,68.43213875295523,62.92494935631829,NaN,NaN
1647205200,1.802,1.867,1.781,1.865,72.51288206004921,63.107301446360225,NaN,NaN
1647291600,1.865,1.894,1.79,1.855,71.63041636134793,63.10025380444779,NaN,NaN
1647378000,1.855,2,1.833,1.942,74.53407800149643,63.37865837257196,NaN,NaN
1647464400,1.946,1.963,1.891,1.92,72.51293681814755,63.625973595393646,NaN,NaN
1647550800,1.926,1.969,1.893,1.942,73.29286349874079,64.8671113723308,NaN,NaN
1647810000,1.96,2.136,1.96,2.119,78.56302775607487,67.06558579175262,NaN,NaN
1647896400,2.119,2.2,2.117,2.168,79.7541085615161,68.55554979627676,NaN,NaN
1647982800,2.172,2.198,2.096,2.1,73.6392729213246,69.56121891487086,NaN,NaN
1648069200,2.1,2.17,2.098,2.141,74.88938431032128,70.9054917899759,NaN,NaN
1648155600,2.145,2.331,2.135,2.276,78.50415280475264,72.23991134364901,NaN,NaN
1648414800,2.283,2.414,2.275,2.332,79.80297435488202,73.50867792676503,NaN,NaN
1648501200,2.33,2.453,2.33,2.371,80.67855429259598,74.64576263175275,NaN,NaN
1648587600,2.369,2.377,2.294,2.312,75.35624942311688,75.29307427980868,NaN,NaN
1648674000,2.31,2.339,2.268,2.339,76.13222839034829,75.8430806824796,NaN,NaN
1648760400,2.339,2.469,2.335,2.462,79.32593523112425,76.32972733755639,NaN,NaN
1649019600,2.481,2.495,2.408,2.424,75.94493531353916,76.63790726271291,NaN,NaN
1649106000,2.424,2.532,2.402,2.518,78.39771525460344,76.91388135222054,NaN,NaN
1649192400,2.52,2.602,2.451,2.476,74.73114658989924,77.07232490734566,NaN,NaN
1649278800,2.473,2.484,2.411,2.464,73.6709910971326,77.09933402151651,NaN,NaN
1649365200,2.468,2.546,2.454,2.522,75.48147121618906,76.87922284009609,NaN,NaN
1649624400,2.555,2.592,2.483,2.508,74.15594012328211,76.47935366593651,NaN,NaN
1649710800,2.506,2.557,2.368,2.409,65.40859564150341,75.8914481459493,NaN,NaN
1649797200,2.412,2.445,2.274,2.354,61.09677442102405,74.9062617252852,NaN,NaN
1649883600,2.356,2.477,2.301,2.456,65.62281458027351,73.9861661378224,NaN,NaN
1649970000,2.456,2.456,2.456,2.456,65.62281458027351,72.97329758249323,NaN,NaN
1650229200,2.491,2.514,2.438,2.452,65.27741253133976,71.87321602811778,NaN,NaN
1650315600,2.452,2.612,2.432,2.596,71.16207151657473,71.57363189193619,NaN,NaN
1650402000,2.598,2.629,2.546,2.582,69.92136420932283,71.12999873614866,NaN,NaN
1650488400,2.582,2.73,2.575,2.688,73.66517361269877,70.72565862054685,NaN,NaN
1650574800,2.693,2.787,2.671,2.673,72.29389005956185,70.46486967383417,NaN,NaN
1650834000,2.655,2.674,2.525,2.63,68.36507808711049,69.74825273329897,NaN,NaN
1650920400,2.634,2.67,2.481,2.481,56.83840383958295,68.47019967970495,NaN,NaN
1651006800,2.479,2.609,2.475,2.593,62.02186424908791,67.63811919055891,NaN,NaN
1651093200,2.597,2.68,2.552,2.623,63.293472976881844,66.76754788775125,NaN,NaN
1651179600,2.621,2.755,2.613,2.721,67.16152528646555,66.26794682797863,NaN,NaN
1651438800,2.731,2.752,2.69,2.733,67.61159363935026,66.42530382782483,NaN,NaN
1651525200,2.733,2.786,2.701,2.784,69.52336572561248,67.02720320672401,NaN,NaN
1651611600,2.784,2.844,2.612,2.646,59.32004371846713,66.57700528802356,NaN,NaN
1651698000,2.646,2.74,2.636,2.712,62.178913274772256,66.33101233763061,NaN,NaN
1651784400,2.728,2.76,2.645,2.741,63.39616174054368,66.19663728114519,NaN,NaN
1652043600,2.745,2.756,2.575,2.596,54.03232973095894,64.97308429645834,NaN,NaN
1652130000,2.598,2.643,2.553,2.61,54.72762400619428,63.887817139092014,NaN,NaN
1652216400,2.616,2.857,2.574,2.647,56.596165022809494,62.66860223981421,NaN,NaN
1652302800,2.637,2.67,2.516,2.565,51.52099707357691,61.184824169386715,NaN,NaN
1652389200,2.567,2.634,2.567,2.582,52.4725386825063,60.04964278334355,NaN,NaN
1652648400,2.599,2.617,2.543,2.576,52.08397230688032,59.71004053100766,NaN,NaN
1652734800,2.574,2.715,2.574,2.711,59.373647444981984,59.52088218785723,NaN,NaN
1652821200,2.69,2.732,2.651,2.671,56.624834307825544,59.044550854353204,NaN,NaN
1652907600,2.674,2.686,2.582,2.611,52.684692265257716,58.010491352838365,NaN,NaN
1652994000,2.622,2.651,2.556,2.585,51.02771024490422,56.82592825323507,NaN,NaN
